Component,Priority,Has ARIA Spec,Phase 1 Status,Phase 2 Status,Phase 3 Status,Notes
onetimepassword,P2,Yes,Pending,Pending,Pending,
orgchart,P2,Yes,Pending,Pending,Pending,
otp,P2,Yes,Pending,Pending,Pending,Duplicate of onetimepassword
pager,P1,Yes,Pending,Pending,Pending,
panelbar,P1,Yes,Pending,Pending,Pending,
pdfviewer,P2,Yes,Pending,Pending,Pending,
pivotgrid,P2,Yes,Pending,Pending,Pending,
popover,P1,Yes,Pending,Pending,Pending,
progressbar,P2,Yes,Pending,Pending,Pending,
prompt-box,P2,Yes,Pending,Pending,Pending,
propertygrid,P2,Yes,Pending,Pending,Pending,
radiobutton,P0,Yes,Pending,Pending,Pending,High-traffic interactive (individual radio)
radiogroup,P0,Yes,Pending,Pending,Pending,High-traffic interactive (radio group)
range-slider,P1,Yes,Pending,Pending,Pending,
rating,P1,Yes,Pending,Pending,Pending,
sankey,P2,Yes,Pending,Pending,Pending,
scheduler,P1,Yes,Pending,Pending,Pending,
signature,P2,Yes,Pending,Pending,Pending,
skeleton,P2,Yes,Pending,Pending,Pending,
slider,P1,Yes,Pending,Pending,Pending,
sortable,P2,Yes,Pending,Pending,Pending,
speech-to-text-button,P2,Yes,Pending,Pending,Pending,
splitbutton,P1,Yes,Pending,Pending,Pending,
splitter,P1,Yes,Pending,Pending,Pending,
spreadsheet,P2,Yes,Pending,Pending,Pending,Complex component
stepper,P1,Yes,Pending,Pending,Pending,
switch,P0,Yes,Pending,Pending,Pending,High-traffic interactive
tabstrip,P1,Yes,Pending,Pending,Pending,
taskboard,P2,Yes,Pending,Pending,Pending,
textarea,P1,Yes,Pending,Pending,Pending,
textbox,P0,Yes,Pending,Pending,Pending,High-traffic interactive
tiledurationpicker,P2,Yes,Pending,Pending,Pending,
tilelayout,P1,Yes,Pending,Pending,Pending,
timeline,P2,Yes,Pending,Pending,Pending,
timepicker,P1,Yes,Pending,Pending,Pending,
togglebutton,P1,Yes,Pending,Pending,Pending,
toolbar,P1,Yes,Pending,Pending,Pending,
tooltip,P1,Yes,Pending,Pending,Pending,
treelist,P1,Yes,Pending,Pending,Pending,
treeview,P0,Yes,Pending,Pending,Pending,High-traffic interactive
upload,P1,Yes,Pending,Pending,Pending,
validation-message,P1,Yes,Pending,Pending,Pending,
validation-summary,P1,Yes,Pending,Pending,Pending,
validation-tooltip,P1,Yes,Pending,Pending,Pending,
window,P1,Yes,Pending,Pending,Pending,
wizard,P1,Yes,Pending,Pending,Pending,
